gas_valve_position_percent,measured_ch4_percent,voltage,diesel_mass_flow,water_flow,ch4_volumeflow_raw,current_phase_1,current_phase_2,power_output,boost_pressure,exhaust_pressure,ch4_volumeflow,co2_volumeflow_raw,co2_volumeflow_processed,generator_frequency,cooling_water_out_temp,cooling_water_in_temp,exhaust_temp,calculated_ch4_share_percent,ch4_mass_flow_calc,des_percent,efficiency_electric,efficiency_thermal,sheet
22.2,51.516,230.536,0.351,1.738,65.049,2.914,2.948,2.024,0.878,2.107,42.7,18.47,0.0,53.037,100.0,8.521,171.274,100.0,2.787814285714286,9.703160177373611,4.71727525346885,25.815284876453987,P2C70
22.2,50.029,230.372,0.366,1.946,65.048,2.908,2.956,2.018,0.904,2.093,42.7,18.452,0.0,52.907,100.0,8.331,171.282,100.0,2.7877714285714292,10.076182614212797,4.683933623560814,28.845623531946345,P2C70
22.2,51.294,230.651,0.359,1.78,64.995,2.915,2.95,2.024,0.888,2.116,42.8,18.463,0.0,53.041,100.0,8.15,171.188,99.99999999999999,2.7855000000000003,9.909827121862467,4.7103888853854174,26.507602519434858,P2C70
22.2,51.614,230.503,0.356,1.856,64.984,2.907,2.952,2.018,0.89,2.103,42.8,18.458,0.0,52.981,100.0,8.012,171.449,99.99999999999999,2.785028571428571,9.836660939987963,4.701035075969302,27.708084890368017,P2C70
22.2,51.581,230.618,0.338,2.178,64.844,2.916,2.952,2.023,0.898,2.108,42.8,18.471,0.0,52.976,100.0,7.746,171.567,100.00000000000001,2.779028571428572,9.404342585942747,4.7455029713914225,32.83631999840754,P2C70
22.2,52.054,230.437,0.335,2.595,64.877,2.91,2.948,2.017,0.887,2.089,42.8,18.454,0.0,52.839,100.0,7.286,171.12,99.99999999999999,2.7804428571428565,9.324356146952645,4.7331968858927285,39.33293767118505,P2C70
22.2,51.261,230.749,0.352,2.904,64.962,3.067,2.95,2.023,0.879,2.094,42.8,18.449,0.0,52.946,100.0,6.662,171.353,100.0,2.7840857142857147,9.739874618147319,4.719339396758788,44.05198297516335,P2C70
22.2,51.54,230.174,0.364,3.354,64.909,3.052,2.966,1.991,0.902,2.097,42.8,18.449,0.0,53.021,100.0,6.225,171.81,100.0,2.7818142857142862,10.045956903862777,4.632717444998767,50.98468205234197,P2C70
22.2,51.717,230.684,0.36,3.7,64.912,2.992,2.954,2.024,0.887,2.103,42.9,18.453,0.0,52.979,100.0,5.817,172.176,100.0,2.781942857142858,9.94612829957565,4.714511400079887,56.54906875311375,P2C70
22.2,51.606,230.848,0.353,4.034,64.96,3.039,2.953,2.019,0.896,2.099,42.8,18.434,0.0,52.928,100.0,5.364,172.172,100.0,2.7839999999999994,9.765114058600144,4.708835941082412,62.028965974507614,P2C70
22.2,51.425,230.766,0.352,3.978,64.751,3.044,2.953,2.024,0.883,2.102,42.8,18.433,0.0,52.944,100.0,4.989,171.801,100.0,2.775042857142857,9.768512932799723,4.735555449858414,61.606156868362305,P2C70
22.2,51.54,230.486,0.356,4.055,64.876,3.01,2.954,2.02,0.893,2.102,42.8,18.429,0.0,52.867,100.0,4.697,172.236,100.0,2.7804,9.851422976262043,4.712756090530852,62.812496610276284,P2C70
22.2,51.598,230.684,0.363,4.548,64.968,2.836,2.95,2.023,0.873,2.111,42.8,18.451,0.0,52.885,100.0,4.428,171.623,100.0,2.7843428571428572,10.0129344868942,4.704627665702358,70.42154309151789,P2C70
22.2,51.865,230.437,0.368,4.228,64.709,2.91,2.949,2.019,0.884,2.103,42.8,18.426,0.0,52.903,100.0,4.319,172.019,100.0,2.7732428571428573,10.173318543728636,4.705716608748932,65.68635542919195,P2C70
22.2,55.454,230.864,0.362,4.743,64.861,2.903,2.961,2.025,0.889,2.11,42.8,18.436,0.0,52.956,100.0,4.188,172.176,100.0,2.779757142857143,10.002934740120944,4.7175717944467825,73.75501446376728,P2C70
